"Enable Auto Shipping","Autoshipping activeren"
"<a href=""%s"" target=""_blank"">Verzendkosten</a> in","<a href=""%s"" target=""_blank"">Verzendkosten</a> in"
"Shipping cost to","Verzendkosten naar "
"Default Country","Standaard land"
"Show Country Selection in Cart","Toon land selectie in winkelmandje"
"Ignore Shipping Methods","Verzendmethoden ignoren"

